V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,Fracaso
0.010787,1.585505,0.231041,0.141519,0.024531,0.805253,0.94347,0.251165,0.625642,0.030453,0.645766,0.049256,0.365294,71,0
0.024731,1.085905,0.047015,0.128769,0.066492,0.801994,0.493761,0.214882,0.594305,0.103987,0.762172,0.017515,-0.091584,22,0
0.018257,1.377773,0.20118,0.296183,0.067041,1.736342,0.716299,0.119599,0.733722,0.052485,0.652141,0.154242,0.463356,62,0
0.02446,1.775728,0.296899,0.386599,0.041643,1.369234,1.424199,0.021623,0.679636,0.041064,0.404359,0.004718,0.284784,24,0
0.034078,1.010494,0.003381,0.123079,0.065751,0.53189,0.903993,0.407266,0.325535,0.125944,0.72942,0.025275,-0.094546,25,0
0.066472,1.965094,0.349888,0.132104,0.110719,1.470982,1.936006,0.33719,0.712432,0.221376,0.699734,0.130939,-0.108832,62,0
0.009386,1.282766,0.124539,0.282426,0.026294,0.369249,1.066193,0.167499,0.564969,0.02394,0.60793,0.016201,0.034535,71,0
0.006051,1.14777,0.100584,0.076005,0.072624,1.005501,0.693336,0.218309,0.78126,0.059899,0.898985,0.009474,-0.031923,11,0
0.032169,1.311126,0.231083,0.237619,0.038627,0.75852,0.379684,0.019108,0.973815,0.135073,0.76184,0.034786,0.120239,43,0
0.002439,0.954803,-0.012958,0.032897,0.022961,1.065761,0.650023,0.543731,0.273749,0.014386,0.830438,0.009516,0.127025,22,0
0.002126,2.37788,0.278515,0.045511,0.010389,0.650483,1.996127,0.158585,0.480648,0.003326,0.360718,0.036088,0.057756,58,0
0.002615,1.628797,0.226819,0.009526,0.01733,0.551079,1.46127,0.296713,0.587538,0.007632,0.657432,0.249699,-0.007721,58,0
0.003383,1.175545,0.103846,0.113424,0.051566,0.96472,0.635787,0.165835,0.695407,0.013944,0.757396,0.050523,0.094769,28,0
0.068347,1.135902,0.069274,0.062519,0.084275,0.750233,1.117276,0.176327,0.579011,0.217709,0.686063,0.002947,0.006438,47,0
0.026682,1.301894,0.148509,0.146536,0.030314,1.380265,0.951286,0.25379,0.640435,0.10493,0.745716,0.061476,-0.040417,25,0
0.039659,0.500526,-0.256924,0.237,0.113043,0.89258,0.428959,0.211251,0.257465,0.14455,0.72564,0.034106,0.490469,73,0
0.004069,1.252272,0.132302,0.191098,0.029597,0.794526,0.564426,0.26079,0.656747,0.018947,0.785235,0.007864,-0.009405,27,0
0.02823,0.991331,-0.005038,0.100256,0.06854,0.826726,0.467162,0.208599,0.576099,0.134257,0.789735,0.008195,-0.176378,22,0
0.04629,1.198804,0.076128,0.325571,0.061898,0.581313,0.594914,0.208694,0.459059,0.113352,0.591625,0.018105,0.118814,26,0
0.000433,1.069825,0.047667,0.088084,0.022312,1.163464,0.620993,0.073219,0.730329,0.001772,0.755881,0.014457,0.122395,17,0
0.0181,0.979677,-0.012673,0.144084,0.054702,0.928008,0.522632,0.182406,0.610896,0.093286,0.805975,0.000349,0.059847,28,0
0.003538,2.080322,0.165475,0.106803,0.02039,0.710744,1.192194,0.516639,0.318646,0.010715,0.669811,0.011412,0.178584,62,0
0.018576,1.010321,0.003982,0.287923,0.046059,0.910676,0.697155,0.286604,0.389795,0.056705,0.672417,0.010623,-0.067612,22,0
0.083409,1.149834,0.081144,0.227685,0.134066,1.67766,0.806504,0.20043,0.622707,0.323281,0.741992,0.011931,0.080784,25,0
0.019998,1.4027,0.254742,0.187875,0.067091,0.857491,1.08899,0.11421,0.887328,0.078979,0.746795,0.056621,-0.295985,43,0
0.020737,0.716683,-0.158431,0.301884,0.044246,0.719769,0.225252,0.114848,0.40077,0.06362,0.674049,0.002003,0.07562,10,0
