V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,CNAE,Bankruptcy
0.004075851,10.42657547,0.52029878,0.725242319,-0.099283174,0.012197137,9.850882389,0.21898337,0.575493668,0.005615499,0.274178259,0.0714495,-1.482546984,72,0
-0.234689741,2.007615222,0.29014443,-0.165505166,-0.229319777,0.534849095,0.716693328,0.139359716,0.578096042,-0.409803359,0.427311329,0.029995346,-1.295367335,47,1
-0.428142773,0.462592109,-0.36569778,-0.19424715,-0.525671016,3.009818832,0.177258967,0.160837901,0.314786793,-2.698194144,0.841322474,0.053836949,-0.550337305,47,1
0.068598793,4.704215907,0.41489173,0.403208405,-0.059996167,0.176332028,4.642266997,0.166896102,0.526897009,0.095130926,0.278901379,0.056209436,-1.203730778,72,0
-0.017853695,1.1173487,0.08945056,-0.130973611,-0.02065127,0.791461976,1.022201803,0.026764759,0.851713452,-0.084625577,0.789027652,0.000218225,-0.855950748,14,1
0.003972803,4.117640645,0.61674128,0.282811644,0.012174923,0.066895611,3.570545336,0.434611019,0.814564364,0.010808409,0.632434102,0.036626993,-0.806196613,72,0
0.034044821,3.208973499,0.59239563,0.103761463,0.063511439,0.691581516,0.667215737,0.487533088,0.86057252,0.139362304,0.755709974,0.044489476,-0.758296765,25,0
0.027437937,1.307463995,0.21673547,0.05192354,0.05429906,0.785846543,0.529848958,0.19862213,0.921648802,0.284435481,0.903535463,0.072199079,-0.71939424,73,0
0.002615184,1.678661312,0.24455191,0.301205186,0.028237495,0.311974814,1.132551989,0.275648305,0.60489647,0.007184436,0.635992865,0.011991501,-0.49362828,74,1
0.043920721,1.349766056,0.2373622,-0.039036701,0.060235757,0.431389526,0.986336728,0.175712435,0.915993522,0.301536823,0.854343756,0.044344037,-0.714973047,63,0
0.072400171,1.306275567,0.20613567,0.152122154,0.120113796,1.534562055,0.946791372,0.157834797,0.879175534,0.428085897,0.830874664,0.029569363,-0.645943795,46,0
0.008331573,0.719603216,-0.26896946,0.01439791,0.029873945,1.087594692,0.538211851,0.021158406,0.690276422,0.425173269,0.980404288,0.002567043,-0.61466448,29,0
0.020901533,1.27154369,0.11605639,-0.000293427,0.033296256,0.313300716,0.854783802,0.296428094,0.543451291,0.075681657,0.723822996,0.001654215,-0.556453611,27,0
0.004962023,2.099899739,0.33608499,0.502723081,0.026006968,0.693340318,1.751872747,0.18850052,0.641644642,0.009807536,0.494060176,0.036483408,-0.531367821,71,0
0.015802312,1.590742333,0.2807537,0.176536218,0.032266412,1.192270654,1.590742333,0.222476756,0.756009474,0.052279234,0.697732527,0.128586276,-0.521893158,62,0
0.012238512,1.136939392,0.106513,0.090623678,0.037901535,1.723192212,1.132041895,0.074742227,0.88432422,0.083002961,0.852553452,0.003179466,-0.511057555,82,0
0.005699167,1.48373747,0.17800845,0.197484425,0.035065016,1.291612855,1.01252932,0.381179404,0.545994099,0.022720787,0.749165055,0.000152047,-0.491856075,22,0
0.161231435,1.604067194,0.32214089,0.415079803,0.23228891,0.886433418,1.31517702,0.014726742,0.855427395,0.356717174,0.548013252,0.017241376,-0.490649149,62,0
0.011032951,1.616536349,0.20342025,0.161753376,-0.019876054,0.559416596,1.082085788,0.263841496,0.533360645,0.027160167,0.593781893,0.031788753,-0.488134759,29,0
0.142897661,1.513858891,0.31870242,0.364162229,0.212383431,1.247088202,1.204763046,0.00919855,0.938916309,0.385597565,0.629412438,0.059730545,-0.457281697,46,0
0.009980572,0.960273099,-0.02284736,-0.238315053,0.033102864,0.415737889,0.723376246,0.240138267,0.552263131,0.054021679,0.815248755,0.022453622,-0.456579362,24,0
0.019327293,1.300274291,0.21497132,0.268568501,0.030915928,1.6794344,1.283489637,0.01135234,0.930887817,0.07086573,0.727268838,0.151412066,-0.443295287,46,0
0.044134981,1.365241436,0.22006378,0.138150055,0.0925501,0.727888456,1.22883469,0.203873772,0.822579707,0.227957809,0.806389697,0.040118177,-0.415171736,43,0
0.053702543,2.074698887,0.27645054,0.33558795,0.078161993,0.673615006,1.671381589,0.355966359,0.533685895,0.138838625,0.613201709,0.084254681,-0.402050418,22,0
0.012189168,0.854562725,-0.11716847,0.099529059,0.037128424,1.618324687,0.292204342,0.081511596,0.6884604,0.108002996,0.887140463,0.030552154,-0.393845505,47,0
0.014338924,0.966950071,-0.01992204,-0.004682362,0.073315586,0.994200109,0.89953732,0.265780322,0.582864083,0.10909637,0.868566444,0.002983744,-0.3889619,47,0
0.013146369,1.523028315,0.29780789,0.394102833,0.029325644,1.751508265,1.141313749,0,0.867199405,0.030529748,0.569391519,0.031259844,-0.386355056,43,0
0.036866519,1.236934276,0.17397906,0.110244072,0.089098062,3.251334157,0.869387779,0.056175489,0.908271557,0.175946041,0.790467985,0.094666623,-0.381567672,46,0
0.052528325,1.611517217,0.32959036,0.110476946,0.072425663,2.242186078,0.985597851,0.338396321,0.868561882,0.428326407,0.87736784,0.409341515,-0.381315064,23,0
0.0046079,0.808326837,-0.12825738,0.078855963,0.033706148,0.912848679,0.465793752,0.095770989,0.540888889,0.019601187,0.764917261,0.020142508,-0.370126482,46,0
0.016544877,2.688550145,0.60727943,0.41050854,0.023247655,0.33832338,2.688550145,0.225606826,0.966924911,0.039891425,0.585252307,0.730848801,-0.365084566,72,0
0.025042997,1.560072624,0.20540899,-0.042138114,0.044851735,0.306515372,1.081233268,0.440213255,0.572163199,0.12973459,0.806967462,0.003568014,-0.36357748,28,0
0.06103009,1.060569765,0.04728705,0.098454235,0.154118544,1.809425599,0.13108636,0.110337607,0.827990855,0.560121912,0.891041416,0.008193741,-0.348012177,31,0
0.007134025,0.813248181,-0.17498431,0.015302007,0.039345572,0.766900029,0.676292515,0.044761724,0.762004185,0.390889665,0.981750214,0.024317512,-0.339143738,29,0
0.002998073,3.97336707,0.26468234,0.276695419,0.025533502,0.447808467,3.001747689,0.392293234,0.353700058,0.005780097,0.481310949,0.009127145,-0.337954881,10,0
-0.392159229,2.210965198,0.45257166,0.464557006,-0.309929293,1.466428726,1.860304942,0.160355419,0.826299702,-0.841694163,0.534083464,0.200468406,-0.335470723,62,1
