Beneficio neto/Total Activo,Activo Corriente/Pasivo Corriente,(Activo Corriente-Pasivo Corriente)/Total Activo,Beneficio retenido / Total Activo = (Reservas año posterior – Reservas año actual) / Total Activo,(Beneficio neto + Gastos financieros + Impuestos) / Total Activo,Ventas / Total Activo,(Tesorería + Deudores) / Pasivo Corriente,Pasivo no corriente / Total Activo,Activo corriente / Total Activo,Beneficio neto / Patrimonio neto,Total deudas / Total activo,Tesorería / Total Activo,(Beneficio neto + Dotación amortizaciones – Deudores año actual – Existencias año actual + Deudores año anterior + Existencias año anterior) / Total deudas,CNAE,Fracaso
0.004075851,10.42657547,0.52029878,0.725242319,-0.099283174,0.012197137,9.850882389,0.21898337,0.575493668,0.005615499,0.274178259,0.0714495,-1.482546984,72,0
0.068598793,4.704215907,0.41489173,0.403208405,-0.059996167,0.176332028,4.642266997,0.166896102,0.526897009,0.095130926,0.278901379,0.056209436,-1.203730778,72,0
4.75527E-05,7.275247424,0.50889567,0.447191882,0.003179289,0.311837574,4.691823532,0.24097291,0.589991384,7.01438E-05,0.322068624,0.047474643,-1.097888637,72,0
0.008097854,1.39947213,0.27017690,0.312171819,0.022954607,1.568746451,1.001461167,0,0.946511687,0.025019228,0.676334789,0.02633875,-0.860807704,59,1
0.034044821,3.208973499,0.59239563,0.103761463,0.063511439,0.691581516,0.667215737,0.487533088,0.86057252,0.139362304,0.755709974,0.044489476,-0.758296765,25,0
0.027437937,1.307463995,0.21673547,0.05192354,0.05429906,0.785846543,0.529848958,0.19862213,0.921648802,0.284435481,0.903535463,0.072199079,-0.71939424,73,0
-0.83059417,0.56625,-0.39380229,-0.463199448,-0.821213527,0.943919737,0.195460963,0.400023376,0.514099243,2.697391943,1.30792491,0.000493917,-0.691153282,32,0
0.027017559,5.571369225,0.63908337,0.546687138,0.036441484,0.714406193,4.517973784,0.278306993,0.778884674,0.046430562,0.418108295,0.275959198,-0.668592116,58,0
0.008331573,0.719603216,-0.26896946,0.01439791,0.029873945,1.087594692,0.538211851,0.021158406,0.690276422,0.425173269,0.980404288,0.002567043,-0.61466448,29,0
0.015802312,1.590742333,0.28075370,0.176536218,0.032266412,1.192270654,1.590742333,0.222476756,0.756009474,0.052279234,0.697732527,0.128586276,-0.521893158,62,0
0.012238512,1.136939392,0.10651300,0.090623678,0.037901535,1.723192212,1.132041895,0.074742227,0.88432422,0.083002961,0.852553452,0.003179466,-0.511057555,82,0
0.005699167,1.48373747,0.17800845,0.197484425,0.035065016,1.291612855,1.01252932,0.381179404,0.545994099,0.022720787,0.749165055,0.000152047,-0.491856075,22,0
0.142897661,1.513858891,0.31870242,0.364162229,0.212383431,1.247088202,1.204763046,0.00919855,0.938916309,0.385597565,0.629412438,0.059730545,-0.457281697,46,0
0.019327293,1.300274291,0.21497132,0.268568501,0.030915928,1.6794344,1.283489637,0.01135234,0.930887817,0.07086573,0.727268838,0.151412066,-0.443295287,46,0
0.044134981,1.365241436,0.22006378,0.138150055,0.0925501,0.727888456,1.22883469,0.203873772,0.822579707,0.227957809,0.806389697,0.040118177,-0.415171736,43,0
0.053702543,2.074698887,0.27645054,0.33558795,0.078161993,0.673615006,1.671381589,0.355966359,0.533685895,0.138838625,0.613201709,0.084254681,-0.402050418,22,0
0.012189168,0.854562725,-0.11716847,0.099529059,0.037128424,1.618324687,0.292204342,0.081511596,0.6884604,0.108002996,0.887140463,0.030552154,-0.393845505,47,0
0.014338924,0.966950071,-0.01992204,-0.004682362,0.073315586,0.994200109,0.89953732,0.265780322,0.582864083,0.10909637,0.868566444,0.002983744,-0.3889619,47,0
0.013146369,1.523028315,0.29780789,0.394102833,0.029325644,1.751508265,1.141313749,0,0.867199405,0.030529748,0.569391519,0.031259844,-0.386355056,43,0
0.036866519,1.236934276,0.17397906,0.110244072,0.089098062,3.251334157,0.869387779,0.056175489,0.908271557,0.175946041,0.790467985,0.094666623,-0.381567672,46,0
0.052528325,1.611517217,0.32959036,0.110476946,0.072425663,2.242186078,0.985597851,0.338396321,0.868561882,0.428326407,0.87736784,0.409341515,-0.381315064,23,0
0.0046079,0.808326837,-0.12825738,0.078855963,0.033706148,0.912848679,0.465793752,0.095770989,0.540888889,0.019601187,0.764917261,0.020142508,-0.370126482,46,0
0.016544877,2.688550145,0.60727943,0.41050854,0.023247655,0.33832338,2.688550145,0.225606826,0.966924911,0.039891425,0.585252307,0.730848801,-0.365084566,72,0
0.025042997,1.560072624,0.20540899,-0.042138114,0.044851735,0.306515372,1.081233268,0.440213255,0.572163199,0.12973459,0.806967462,0.003568014,-0.36357748,28,0
0.06103009,1.060569765,0.04728705,0.098454235,0.154118544,1.809425599,0.13108636,0.110337607,0.827990855,0.560121912,0.891041416,0.008193741,-0.348012177,31,0
0.007134025,0.813248181,-0.17498431,0.015302007,0.039345572,0.766900029,0.676292515,0.044761724,0.762004185,0.390889665,0.981750214,0.024317512,-0.339143738,29,0
0.002998073,3.97336707,0.26468234,0.276695419,0.025533502,0.447808467,3.001747689,0.392293234,0.353700058,0.005780097,0.481310949,0.009127145,-0.337954881,10,0
0.045644752,1.349646349,0.18939300,0.124224268,0.071001016,1.927875385,0.902709985,0.325403468,0.731063162,0.34337625,0.867073633,0.018661006,-0.333678448,23,0
0.043262286,1.289940828,0.20118103,0.158476316,0.117697747,1.109942469,0.694791438,0.088247966,0.895050308,0.198557636,0.782117242,0.060749677,-0.326636423,46,0
0.015768034,1.652692747,0.29193153,0.527114664,0.022029931,1.10954763,1.642831469,0.022822984,0.739204044,0.02975637,0.4700955,0.158290449,-0.325064255,28,0
0.055508725,1.043323386,0.03897383,0.080041995,0.094559094,1.905235333,1.043206681,0,0.9385764,0.552889902,0.899602571,0.259109467,-0.323179154,47,0
0.022779051,1.074536654,0.05732885,0.114291246,0.05082175,0.965700446,0.883323762,0.037671413,0.826465221,0.117908741,0.806807782,0.064486909,-0.314035856,43,0
0.02660918,1.227691049,0.18123721,0.189724502,0.030135253,0.639554087,0.323822931,0.013917287,0.97721585,0.139971552,0.809895926,0.013163956,-0.296642868,43,0
-0.218668303,1.69558025,0.16058120,-0.165962618,-0.189075421,0.158653362,1.438110489,0.599848303,0.391440545,-1.291658817,0.830707648,0.00721119,-0.284579794,02,1
0.047641713,1.252362891,0.19651417,0.201647282,0.072268448,0.745324338,0.52033706,0.019149825,0.975210961,0.235671304,0.797846613,0.042903588,-0.268395503,43,0
0.015576871,1.213666804,0.12477763,0.111126787,0.054107585,0.730160685,0.49981952,0.258505385,0.708759915,0.098893028,0.842487672,0.003761766,-0.266325311,01,0
0.030525466,1.332569213,0.20816876,0.134112718,0.054322308,0.649505707,1.145878904,0.212324542,0.834109939,0.188738298,0.838265716,0.055323258,-0.265122735,71,0
